,Game ID,Player ID,Level ID,Objective Difficulty,Number of Attempts,Number of Successful Attempts,Variance of x-Coordinate of Death Locations,Maximum Reached x-Coordinate,Acorns Collected,Average y-Coordinate of Player,Total  Time Spent
0,Sky Knight,3199646565069721288,Level 1,Easy,2,0,0.0,-19525.193,2.0,4031.981948122867,4.849926
1,Sky Knight,9021196626833233073,Level 1,Easy,6,1,89895094.69639467,19870.088,18.0,69.9018919689237,98.865157
2,Sky Knight,9021196626833233073,Level 4,Hard,2,1,0.0,19881.387,8.0,249.55232033012217,55.865925
3,Sky Knight,-5530728665903946670,Level 1,Easy,1,0,0.0,-19750.0,1.0,3621.4578133152168,0.0
4,Sky Knight,-982650634960421593,Level 1,Easy,2,0,0.0,-19750.0,0.0,4552.61226,2.466629
5,Sky Knight,-1706851321423780732,Level 1,Easy,3,1,0.0,19870.14,16.0,-549.6410753222078,63.365700000000004
6,Sky Knight,-7957839247251413449,Level 1,Easy,2,1,0.0,19874.004,12.0,-797.4054179836752,39.049403999999996
7,Sky Knight,-3207448279967085174,Level 1,Easy,4,2,0.0,19873.707,24.0,-950.1711377228991,80.665437
8,Sky Knight,-3207448279967085174,Level 2,Medium,2,1,0.0,19874.97,0.0,130.50843389694893,48.582592
9,Sky Knight,3105691448037698068,Level 1,Easy,4,3,0.0,19876.438000000002,24.0,-970.8257810855896,123.73149
10,Sky Knight,3105691448037698068,Level 2,Medium,2,1,0.0,19880.074,4.0,88.06115764379064,38.966072
11,Sky Knight,1095951469935100556,Level 1,Easy,2,1,0.0,19866.637,12.0,-917.5939551549312,40.016056
12,Sky Knight,4691599397461953536,Level 1,Easy,3,2,0.0,19873.896,6.0,-514.2762008916233,76.748829
13,Sky Knight,-2659176736930135289,Level 1,Easy,2,1,0.0,19871.592,12.0,-914.7139959448956,38.98274
14,Sky Knight,7671629130987668587,Level 1,Easy,2,1,0.0,19873.928,12.0,-952.7533527904193,38.93274
15,Sky Knight,-3554569919588110407,Level 1,Easy,2,1,0.0,19876.77,2.0,160.34116876161985,37.416096
16,Sky Knight,-1535876341205299489,Level 2,Medium,2,1,0.0,19878.557,12.0,-35.223546650845044,37.432762
17,Sky Knight,991597551600260243,Level 2,Medium,2,1,0.0,19874.29,12.0,260.1918654734502,36.682774
18,Sky Knight,991597551600260243,Level 3,Medium,4,1,214969.65336324007,19879.926,18.0,-107.27570745921028,71.68224000000001
19,Sky Knight,5263266811274106444,Level 3,Medium,2,1,0.0,19868.053,12.0,-1059.878588892521,39.099403
20,Sky Knight,5263266811274106444,Level 4,Hard,4,3,0.0,19879.05,24.0,270.3317965736638,153.4644
21,Sky Knight,3905017084788441882,Level 1,Easy,2,1,0.0,19868.418,12.0,-920.5708284210974,39.149403
22,Sky Knight,4214778560046493141,Level 2,Medium,3,2,0.0,19865.887,17.0,322.1975371086064,74.298866
23,Sky Knight,4214778560046493141,Level 3,Medium,4,2,0.0,19875.574,24.0,-886.8637968448404,78.43213700000001
24,Sky Knight,4214778560046493141,Level 4,Hard,5,3,0.0,19879.53,30.0,-138.64035679492673,150.06437699999998
25,Sky Knight,4214778560046493141,Level 1,Easy,5,3,0.0,19878.615,26.0,-157.8638229647219,127.74805099999999
26,Sky Knight,7878270254279677127,Level 1,Easy,2,0,0.0,18367.836,4.0,-752.779755371518,47.482746
27,Sky Knight,7878270254279677127,Level 2,Medium,2,0,0.0,-16084.677,0.0,1311.111301751413,8.433205000000001
